5-6  Number of Employed Persons in Urban Units at Year-end by Sector and Region,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,(10 000 persons)
,Total,1,2,3,4,5,7,7,6,6,6,6,6,8,8,9,7,7,7,9
Year,,"Agriculture,",Mining,Manufacturing,Production,Construction,"Transport,",Information,Wholesale,Hotels,Financial,Real Estate,Leasing,Scientific,Management ,Services to,Education,"Health,","Culture,",Public
,,"Forestry,",,,and,,Storage,"Transmission,",and,and,Intermediation,,and,"Research,",of Water,Households,,Social,Sports,Management
,Total,Animal,,,Distribution,,and Post,Computer,Retail,Catering,,,Business,Technical,"Conservancy,",and,,Securities,and,and Social
Region,,Husbandry,,,"of Electricity,",,,Service and,Trades,Services,,,Services,"Services, and",Environment,Other,,and Social,Entertainment,Organization
,,and Fishery,,,Gas and Water,,,Software,,,,,,Geological,and Public,Services,,Welfare,,
,,,,,,,,,,,,,,,,,,,,
2003,10969.7,484.5,488.3,2980.5,297.6,833.7,636.5,116.8,628.1,172.1,353.3,120.2,183.5,221.9,172.5,52.8,1442.8,485.8,127.8,1171
2004,11098.9,466.1,500.7,3050.8,300.6,841,631.8,123.7,586.7,177.1,356,133.4,194.4,222.1,176.1,54.2,1466.8,494.7,123.4,1199
2005,11404,446.3,509.2,3210.9,299.9,926.6,613.9,130.1,544,181.2,359.3,146.5,218.5,227.7,180.4,53.9,1483.2,508.9,122.5,1240.8
2006,11713.2,435.2,529.7,3351.6,302.5,988.7,612.7,138.2,515.7,183.9,367.4,153.9,236.7,235.5,187,56.6,1504.4,525.4,122.4,1265.6
,,,,,,,,,,,,,,,,,,,,
Beijing,513.8,2.7,2.1,99.7,5.9,34.3,41.5,21.4,36.5,24.4,18.5,24.3,51.6,33.6,7.7,10,37.7,17.2,13.7,31.1
Tianjin,195,0.7,7.5,78.5,3.5,8.9,11.6,2.3,11,3.4,5.2,2.2,6.5,5.4,3.6,5.1,16.8,7.8,1.8,13.3
Hebei,501.2,8.2,27.7,121.4,18.1,35.8,25.7,5.3,25.3,5,19.1,2.9,5.4,7.5,8.9,2.1,83.9,23.3,4.7,71
Shanxi,365.5,3.5,68.2,73,10.3,20.1,21.6,3.9,19.2,3.5,12.1,1.4,5.9,6,5.3,1.2,47,14.2,4.3,44.8
Inner Mongolia,242.6,29.2,17.1,42.4,9.4,14.4,15.1,3.1,7.3,2.6,8.3,1.4,2.6,4,5.9,1.9,33.2,10.6,3.1,31.1
,,,,,,,,,,,,,,,,,,,,
Liaoning,498,28.9,30.2,147.3,16.6,29.5,33.8,5.1,16.1,5.9,18.7,6.4,10.4,9.6,11.1,2.2,51.1,22.6,5.1,47.4
Jilin,265.9,18.8,16.8,59.7,8.2,14.5,17.8,3.3,9.4,2.9,8.9,3.3,3,6.1,6.8,1.2,37.7,14.6,3.7,29.3
Heilongjiang,496.5,90.5,48.8,99.4,15.2,36.1,27.6,4.4,22.6,3.9,11.5,4.9,4.4,9.7,8,5.2,43.3,17.4,3.8,39.8
,,,,,,,,,,,,,,,,,,,,
Shanghai,332.5,1.3,0,117.7,5.4,12.9,32.2,4.4,22,7.7,17.1,7.9,17.2,14.1,5.3,3.7,25.8,15.7,4.5,17.7
Jiangsu,679.4,14.6,14.7,290.8,13,37.2,32.7,6.8,27.3,8.8,22.9,5.9,8.9,9.2,10.2,1.2,83.4,30.6,5,56.1
Zhejiang,610.8,1.7,1.7,245.5,11,101.3,19.8,6.3,20.3,10.8,20.3,7,17.7,8.4,6.3,1,53.5,25.2,4.8,48.3
Anhui,338.3,8.1,29.9,69,9.6,31.3,15.1,3.6,15.2,2.6,11.6,3.1,4.3,5.2,6,0.4,58.3,18.2,3.5,43.3
Fujian,427.4,7,4.5,217.7,8.2,36.3,15.1,4.1,11.5,4.9,9.9,6,5.7,4.1,3.9,1.3,42.5,12.8,3.3,28.6
Jiangxi,282.8,14.8,9.6,68,9.5,22,16,3.1,10.1,2.5,8.8,2.7,2.2,5.5,5,0.6,46.5,14.6,3.5,38
Shandong,897.6,5.7,62.2,345.1,19.8,69.2,29.5,5.4,36.2,11.3,24.8,8.2,10.6,8.1,10.8,3.2,105.4,35.9,5.9,100.1
,,,,,,,,,,,,,,,,,,,,
Henan,711.3,8.8,49.3,159.1,21.9,71.2,31.5,5.1,46,10.7,20.7,5.9,10.4,11.4,11.3,1.7,109.6,34.1,7,95.5
Hubei,520.3,29.2,13.1,152.2,12.9,51.8,27.7,5.8,23,7.9,13,5.7,6.1,9.8,9.6,1.4,65.3,26.1,4.9,54.8
Hunan,415.5,8.5,11,81.6,10.7,58.5,22,4.4,12.4,7,14,6.2,4.9,6.3,7.1,0.7,67.1,24.3,4.2,64.8
Guangdong,954.4,10.3,3.3,391.1,20.2,60.4,48.3,14.9,39.8,23.1,30.5,22.9,25.6,13.1,12.4,4.5,101.2,40.1,8.8,84.1
Guangxi,283.5,13.5,5,56.6,8.1,21.4,17.5,3.8,12.8,4.8,7.9,3.3,6.1,5.4,5.3,0.8,55.2,17.5,3.2,35.4
Hainan,75.5,18.5,0.8,6.9,2.1,5.6,4.1,0.8,2.8,3.4,1.7,1.6,1.4,1.6,1.9,0.1,8.8,3.2,1.2,9
,,,,,,,,,,,,,,,,,,,,
Chongqing,219.7,2.1,8.7,53.1,5.9,36.5,13.2,2.4,10,3.2,6.8,3.2,1.9,5,2.8,0.6,32.1,9.3,2,21.1
Sichuan,520.6,9.1,22,118.7,15.1,80.5,23,5.1,17.9,4.9,16.4,4.8,5.8,11.5,7.9,2,80.7,27,4.4,63.8
Guizhou,210.5,3,10.7,41.1,6.6,22.7,8.5,1.5,12,2.8,5,3.9,2.6,3.6,2.7,0.8,38.7,9.3,1.9,33.1
Yunnan,259.2,16.2,7.3,46.2,7,20.1,12.9,3.3,11.6,4.3,7.2,2.2,3.6,5.9,4.3,0.5,49,13.2,3.3,40.9
Tibet,18.9,0.6,0.2,0.9,0.8,0.7,0.8,0.3,0.6,0.4,0.6,0,0.1,0.5,0.2,0,3.4,1.4,0.6,6.9
,,,,,,,,,,,,,,,,,,,,
Shaanxi,334.8,6.5,19.5,84.3,9.7,20.4,19.7,3.3,18.3,5.1,10,2.6,2.9,12.6,5.4,2.1,51.1,14.8,3.8,42.6
Gansu,194.5,6.6,13,43.2,6.8,14.4,11,1.7,7.5,2.2,5.8,1.5,2.5,4.9,4.1,0.6,29.8,7.9,2.2,28.6
Qinghai,43.2,2.3,1.7,6.7,1.7,2.9,3.3,0.8,1.5,0.4,1.5,0.2,0.7,1.8,0.8,0.3,6.3,2.5,0.6,7.2
Ningxia,58.7,3,5.7,11,3.7,3.7,2.9,0.5,1.9,0.7,2.5,0.6,0.9,1.1,1.9,0.1,7.6,2.7,0.8,7.4
Xinjiang,245.1,61.4,17.5,23.7,5.8,14.1,11.1,1.9,7.6,2.8,6,2,4.9,4.4,4.3,0.3,32.8,11.3,2.5,30.7